level_0,level_1,level_2,no_aud_data_Fz
10,0,5,-3.4448116425117342e-06
10,0,6,-1.161126982900809e-06
10,0,7,-8.516738616470542e-07
10,0,8,-2.3763161506699937e-06
10,0,9,-3.869711202606911e-06
10,0,10,-3.6583118889555236e-06
10,0,11,-1.878418725733365e-06
10,0,12,-2.283996798197225e-07
10,0,13,-1.442063897799721e-07
10,0,14,-1.4211599803132092e-06
10,0,15,-2.559937131029082e-06
10,0,16,-2.3835759193866645e-06
10,0,17,-1.1236558915788718e-06
10,0,18,-1.9104061550934548e-08
10,0,19,-6.449213526060624e-09
10,0,20,-9.728697622808776e-07
10,0,21,-2.132533731982614e-06
10,0,22,-2.9418283231270057e-06
10,0,23,-3.3976095943821154e-06
10,0,24,-3.6849429856139113e-06
10,0,25,-3.7134567363330227e-06
10,0,26,-3.309944126367667e-06
10,0,27,-2.6866950465944783e-06
10,0,28,-2.57003106717765e-06
10,0,29,-3.533754768702272e-06
10,0,30,-5.283871802540447e-06
10,0,31,-6.675773428811108e-06
10,0,32,-6.729534752827654e-06
10,0,33,-5.55520136096349e-06
10,0,34,-4.341913946644051e-06
10,0,35,-4.220553518416225e-06
10,0,36,-5.196502466005309e-06
11,0,0,1.564117542899568e-06
11,0,1,8.223130984995602e-07
11,0,2,-5.218883039111623e-07
11,0,3,-1.8410093891025985e-06
11,0,4,-2.659405293863252e-06
11,0,5,-2.7940387060675944e-06
11,0,6,-2.3455335744340314e-06
11,0,7,-1.6658952766138353e-06
11,0,8,-1.2233748930555284e-06
11,0,9,-1.3133434745375954e-06
11,0,10,-1.7538570580065367e-06
11,0,11,-1.908124278327439e-06
11,0,12,-1.1724259995471832e-06
11,0,13,4.0592231621361055e-07
11,0,14,2.017896470589417e-06
11,0,15,2.7337604886178553e-06
11,0,16,2.378222633492259e-06
11,0,17,1.774509318305318e-06
11,0,18,2.0069326936951118e-06
11,0,19,3.3511104037685e-06
11,0,20,4.957966012835926e-06
11,0,21,5.68236836725184e-06
11,0,22,5.209507876636577e-06
11,0,23,4.321667139089362e-06
11,0,24,3.992267070688561e-06
11,0,25,4.326298286179799e-06
11,0,26,4.482030702487091e-06
11,0,27,3.761906611212068e-06
11,0,28,2.57767355127053e-06
11,0,29,2.156412151935598e-06
11,0,30,3.1990334286210445e-06
11,0,31,4.978365251704904e-06
11,0,32,5.907445390028064e-06
11,0,33,5.16443113575773e-06
11,0,34,3.547350259504843e-06
11,0,35,2.683315364232329e-06
11,0,36,3.296262415466083e-06
12,0,0,4.291182695221083e-06
12,0,1,6.76743958217933e-06
12,0,2,7.591334110089898e-06
12,0,3,6.4437700580808515e-06
12,0,4,4.470472116048963e-06
12,0,5,3.2133026731087286e-06
12,0,6,3.263792362735306e-06
12,0,7,3.987627920044629e-06
12,0,8,4.3885866688493506e-06
12,0,9,4.2054693666636095e-06
12,0,10,4.0414110719343426e-06
12,0,11,4.561882519503235e-06
12,0,12,5.582137684048341e-06
12,0,13,6.117420071157366e-06
12,0,14,5.2964872218377835e-06
12,0,15,3.3398443108308205e-06
12,0,16,1.5414271049437423e-06
12,0,17,1.287249889255965e-06
12,0,18,2.896519115398922e-06
12,0,19,5.372601379371826e-06
12,0,20,7.1180818091512725e-06
12,0,21,7.102154737696493e-06
12,0,22,5.417033106598564e-06
12,0,23,2.9833092856993413e-06
12,0,24,7.333909816369466e-07
12,0,25,-8.774872316068928e-07
12,0,26,-1.901682691056675e-06
12,0,27,-2.5444462532397727e-06
12,0,28,-2.9521416294009102e-06
12,0,29,-3.199917457484341e-06
12,0,30,-3.3958993805194174e-06
12,0,31,-3.5570014536259905e-06
12,0,32,-3.5470861422395123e-06
12,0,33,-3.125775812088896e-06
12,0,34,-2.273746065159735e-06
12,0,35,-1.3515096017209844e-06
12,0,36,-9.456582260951692e-07
13,0,0,-6.8616501379631465e-06
13,0,1,-8.707623185424105e-06
13,0,2,-8.67276043399625e-06
13,0,3,-6.951252102125466e-06
13,0,4,-4.57484027261142e-06
13,0,5,-2.8941982667843547e-06
13,0,6,-2.657429507543679e-06
13,0,7,-3.4800563817200263e-06
13,0,8,-4.15752662603783e-06
13,0,9,-3.771203829990011e-06
13,0,10,-2.5566933271774022e-06
13,0,11,-1.7884613310362966e-06
13,0,12,-2.577405432228452e-06
13,0,13,-4.729256831964579e-06
13,0,14,-6.641590979430316e-06
13,0,15,-6.546045285404402e-06
13,0,16,-3.984066338739414e-06
13,0,17,-3.826809063592408e-07
13,0,18,1.9948069463525067e-06
13,0,19,1.7723767350968228e-06
13,0,20,-4.3170321721211204e-07
13,0,21,-2.6389924125735443e-06
13,0,22,-3.226471065192983e-06
13,0,23,-2.4123315957000525e-06
13,0,24,-1.962291055088077e-06
13,0,25,-3.5659858062218614e-06
13,0,26,-7.100225153708459e-06
13,0,27,-1.0588183953111005e-05
13,0,28,-1.1710098798956329e-05
13,0,29,-9.775142971335245e-06
13,0,30,-6.232987745644341e-06
13,0,31,-3.5234763870254358e-06
13,0,32,-3.0838379193715807e-06
13,0,33,-4.460212288064319e-06
13,0,34,-5.9198712706267265e-06
13,0,35,-6.147384647846364e-06
13,0,36,-5.204948033931821e-06
14,0,0,-5.5529971095714275e-06
14,0,1,-6.0595165444093414e-06
14,0,2,-8.060675583752624e-06
14,0,3,-1.085752972166098e-05
14,0,4,-1.259078290448759e-05
14,0,5,-1.1726839322484495e-05
14,0,6,-8.407212715377474e-06
14,0,7,-4.424847495553604e-06
14,0,8,-1.8577944778718159e-06
14,0,9,-1.530516442540812e-06
14,0,10,-2.6533464219686967e-06
14,0,11,-3.761341996892794e-06
14,0,12,-3.964255361052309e-06
14,0,13,-3.3449000100543717e-06
14,0,14,-2.4217552342434257e-06
14,0,15,-1.431026906580832e-06
14,0,16,-3.0482474812219934e-07
14,0,17,8.57571298229639e-07
14,0,18,1.497068319193174e-06
14,0,19,1.0582070147735644e-06
14,0,20,-3.701514797872385e-07
14,0,21,-1.8938954154051153e-06
14,0,22,-2.5717481932001845e-06
14,0,23,-2.298754805144925e-06
14,0,24,-2.009783232031885e-06
14,0,25,-2.8116921803910045e-06
14,0,26,-4.9546074307511726e-06
14,0,27,-7.451245002886204e-06
