level_0,level_1,level_2,control_data_Oz
11,0,21,-2.8037612045744235e-06
11,0,22,1.458740506586768e-07
11,0,23,3.4402800055118376e-08
11,0,24,-1.8085768075540927e-06
11,0,25,-2.971912407421598e-06
11,0,26,-2.759246167631762e-06
11,0,27,-2.002023241221785e-06
11,0,28,-1.4337608476951003e-06
11,0,29,-6.032038958282032e-08
11,0,30,3.311215599979692e-06
11,0,31,8.10404611254552e-06
11,0,32,1.11246526851267e-05
11,0,33,9.291617745688075e-06
11,0,34,2.3449018394047663e-06
11,0,35,-6.110595950409336e-06
11,0,36,-1.1630431427468453e-05
12,0,0,4.367094217332552e-06
12,0,1,4.8562623119914865e-06
12,0,2,5.286122620061935e-06
12,0,3,5.341438452445915e-06
12,0,4,5.796878117485948e-06
12,0,5,7.315399961822105e-06
12,0,6,9.213229487567832e-06
12,0,7,9.834470403009582e-06
12,0,8,8.34485120933281e-06
12,0,9,6.042977928707977e-06
12,0,10,5.609364317846324e-06
12,0,11,8.57979479457877e-06
12,0,12,1.3529534245815635e-05
12,0,13,1.6813940851970622e-05
12,0,14,1.554637297405113e-05
12,0,15,9.997195742284068e-06
12,0,16,3.5074016136288876e-06
12,0,17,-2.70726040467321e-07
12,0,18,-3.760509684172748e-08
12,0,19,2.589135003673061e-06
12,0,20,5.0341034534346816e-06
12,0,21,5.810864327218223e-06
12,0,22,5.294256049402147e-06
12,0,23,4.597207658044362e-06
12,0,24,4.507146944747632e-06
12,0,25,5.0489813317858615e-06
12,0,26,6.114660300393182e-06
12,0,27,7.5353776296284425e-06
12,0,28,8.905492128094539e-06
12,0,29,9.350091707521551e-06
12,0,30,8.419652420295809e-06
12,0,31,6.734243025069951e-06
12,0,32,6.061496696303548e-06
12,0,33,7.677479266738208e-06
12,0,34,1.1117470587258718e-05
12,0,35,1.4101120387779477e-05
12,0,36,1.4553126164572328e-05
13,0,0,5.8699640214158436e-06
13,0,1,6.706075609938435e-06
13,0,2,6.596239207349555e-06
13,0,3,6.734347071265384e-06
13,0,4,7.991434659681239e-06
13,0,5,1.0044084196635843e-05
13,0,6,1.1586348582414514e-05
13,0,7,1.1609629464339529e-05
13,0,8,1.0240497220165984e-05
13,0,9,8.501189712918395e-06
13,0,10,7.1238945717758606e-06
13,0,11,6.097126697473252e-06
13,0,12,5.233869238283398e-06
13,0,13,5.035165743262182e-06
13,0,14,6.310375559577725e-06
13,0,15,8.82965118277298e-06
13,0,16,1.0518871724653938e-05
13,0,17,8.664119506604886e-06
13,0,18,2.39188815538791e-06
13,0,19,-5.956146649246425e-06
13,0,20,-1.2192886970086199e-05
13,0,21,-1.3446354041939286e-05
13,0,22,-1.0168265149874836e-05
13,0,23,-5.167178537393785e-06
13,0,24,-7.540051341071557e-07
13,0,25,2.999656725611544e-06
13,0,26,7.235963965789808e-06
13,0,27,1.1862479181540817e-05
13,0,28,1.4835661789281839e-05
13,0,29,1.4101187326590525e-05
13,0,30,1.0282742158299193e-05
13,0,31,6.8335511168342235e-06
13,0,32,7.184112580675445e-06
13,0,33,1.1336636258183212e-05
13,0,34,1.5757656599974727e-05
13,0,35,1.654163522381909e-05
13,0,36,1.3112885257980005e-05
14,0,0,-2.233896736106693e-06
14,0,1,-1.6115027632648533e-06
14,0,2,-4.6384730703691654e-08
14,0,3,2.3840124768500208e-06
14,0,4,4.298783888253887e-06
14,0,5,4.458442411348296e-06
14,0,6,2.8823399108880552e-06
14,0,7,8.214181556996799e-07
14,0,8,-4.1227972974847125e-07
14,0,9,-4.7148774476668686e-07
14,0,10,-1.0951399808098114e-07
14,0,11,-4.3706728061889427e-07
