level_0,level_1,level_2,no_vis_no_aud_data_Oz
19,0,15,1.695491980880379e-05
19,0,16,1.551601913362397e-05
19,0,17,1.3689063984458354e-05
19,0,18,1.1442913989849967e-05
19,0,19,8.123146956758899e-06
19,0,20,3.909073406290425e-06
19,0,21,5.466619849871766e-07
19,0,22,6.086794746557683e-07
19,0,23,4.967526621283428e-06
19,0,24,1.138510941612697e-05
19,0,25,1.5492631295120434e-05
19,0,26,1.4285931169125154e-05
19,0,27,8.676371491813978e-06
19,0,28,3.1782332844815513e-06
19,0,29,2.1794098172062603e-06
19,0,30,6.607856001449464e-06
19,0,31,1.3340855565344622e-05
19,0,32,1.8401960825483658e-05
19,0,33,2.0052731568779517e-05
19,0,34,1.9790185910317087e-05
19,0,35,1.995081431857592e-05
19,0,36,2.1233599134476465e-05
20,0,0,-4.674424123173379e-06
20,0,1,4.781422538452558e-06
20,0,2,1.4500371105508818e-05
20,0,3,1.7407402888423244e-05
20,0,4,1.1033171341084632e-05
20,0,5,-3.006740643525007e-07
20,0,6,-8.998623659348093e-06
20,0,7,-1.0372357946781185e-05
20,0,8,-5.872625566750772e-06
20,0,9,-1.0232440370280802e-06
20,0,10,-3.29974255151954e-07
20,0,11,-3.968425212423133e-06
20,0,12,-8.416541220773624e-06
20,0,13,-1.0032977447172289e-05
20,0,14,-7.828726782705287e-06
20,0,15,-3.524041728940482e-06
20,0,16,5.902152312683813e-07
20,0,17,3.3086882960647456e-06
20,0,18,4.5810764959754635e-06
20,0,19,4.328961650504158e-06
20,0,20,2.1078036611781996e-06
20,0,21,-2.1042406246814406e-06
20,0,22,-6.678491726616273e-06
20,0,23,-8.756500159021467e-06
20,0,24,-6.363166270834076e-06
20,0,25,-7.343566376509434e-07
20,0,26,3.966299177576588e-06
20,0,27,3.5258763616802366e-06
20,0,28,-2.533529406272778e-06
20,0,29,-1.0096837072912036e-05
20,0,30,-1.3418484213478625e-05
20,0,31,-1.0041754434973065e-05
