level_0,level_1,level_2,no_vis_data_Oz
14,0,21,-7.527002820390783e-07
14,0,22,-3.266654360705492e-06
14,0,23,-6.41357919910668e-06
14,0,24,-8.683165053539573e-06
14,0,25,-9.75832241227213e-06
14,0,26,-9.841759457456087e-06
14,0,27,-8.894202024496375e-06
14,0,28,-6.639117153804631e-06
14,0,29,-3.6060872472099914e-06
14,0,30,-1.403370718428801e-06
14,0,31,-1.7784767161525106e-06
14,0,32,-4.806990253889787e-06
14,0,33,-8.464501423697938e-06
14,0,34,-1.0018184697526463e-05
14,0,35,-8.58169381954437e-06
14,0,36,-6.048139129318506e-06
15,0,0,-1.8030960105005985e-06
15,0,1,-2.0094940127124113e-06
15,0,2,-1.4512140512821958e-06
15,0,3,-6.824723743026218e-07
15,0,4,3.310201968119462e-07
15,0,5,1.6294614640147267e-06
15,0,6,2.3625918754157326e-06
15,0,7,1.3887350385203122e-06
15,0,8,-1.5199776725269783e-06
15,0,9,-4.845909351747994e-06
15,0,10,-6.333481818517398e-06
15,0,11,-4.819896347698141e-06
15,0,12,-1.4777896687629487e-06
15,0,13,1.1420282305252751e-06
15,0,14,1.0356955653777149e-06
15,0,15,-1.6325097265026115e-06
15,0,16,-4.788960794451061e-06
15,0,17,-5.946249163956368e-06
15,0,18,-4.159033113084295e-06
15,0,19,-6.293230492800182e-07
15,0,20,1.9397055728224e-06
15,0,21,1.3002872231517409e-06
15,0,22,-2.6816206117797914e-06
15,0,23,-7.487338118764952e-06
15,0,24,-9.633555744436467e-06
15,0,25,-7.274786293410304e-06
15,0,26,-1.899818772587087e-06
15,0,27,2.7180698857890605e-06
15,0,28,3.455499660608353e-06
15,0,29,5.247255636250916e-07
15,0,30,-3.002772472607306e-06
15,0,31,-4.040319314478066e-06
15,0,32,-2.360363249565299e-06
15,0,33,-3.450332821130589e-07
15,0,34,-3.359135512288117e-07
15,0,35,-1.9902903955962005e-06
15,0,36,-2.670120233003444e-06
16,0,0,-1.4120379847871209e-05
