level_0,level_1,level_2,no_vis_no_aud_data_Fz
16,0,28,-1.0489867574384323e-05
16,0,29,-9.708994329295966e-06
16,0,30,-9.489311337777394e-06
16,0,31,-8.468415888952699e-06
16,0,32,-5.951539149018587e-06
16,0,33,-2.7725373415025853e-06
16,0,34,-8.2924463057347e-07
16,0,35,-1.4742671957304932e-06
16,0,36,-4.427990345491883e-06
17,0,0,5.938544834222846e-07
17,0,1,1.1927258306437759e-06
17,0,2,2.044573223882514e-06
17,0,3,3.2751177547284246e-06
17,0,4,4.238527680576259e-06
17,0,5,4.22333293426626e-06
17,0,6,3.1612646596787812e-06
17,0,7,1.82564675006815e-06
17,0,8,9.863794877317935e-07
17,0,9,6.776953897345821e-07
17,0,10,7.50392427830256e-08
17,0,11,-1.5621019207114637e-06
17,0,12,-4.063780276356715e-06
17,0,13,-6.178435525023348e-06
17,0,14,-6.640732416419049e-06
17,0,15,-5.226379731201636e-06
17,0,16,-3.151080501654453e-06
17,0,17,-2.065067959696601e-06
17,0,18,-2.8390008506123097e-06
17,0,19,-4.852474812198985e-06
17,0,20,-6.7783098630169e-06
17,0,21,-7.725112779160778e-06
17,0,22,-7.984402446542342e-06
17,0,23,-8.31904484248228e-06
17,0,24,-9.013697260962011e-06
17,0,25,-9.356164949432609e-06
17,0,26,-8.545140863137554e-06
17,0,27,-6.676052825587656e-06
17,0,28,-5.047328234191286e-06
17,0,29,-4.8953352963555265e-06
17,0,30,-6.241691246272119e-06
17,0,31,-7.682569526760942e-06
17,0,32,-7.849204965715555e-06
17,0,33,-6.641299941121412e-06
17,0,34,-5.370154474789715e-06
17,0,35,-5.2052990988919366e-06
17,0,36,-5.97300395189604e-06
18,0,0,5.688257163634629e-06
18,0,1,4.223510467634691e-06
18,0,2,2.200627965116917e-06
18,0,3,1.165362226941665e-06
18,0,4,1.605219973771385e-06
18,0,5,2.30276804152577e-06
18,0,6,1.6870139258026354e-06
18,0,7,-1.986927629835756e-07
18,0,8,-1.2512695507219178e-06
18,0,9,7.348525396444746e-07
18,0,10,5.635857171307982e-06
18,0,11,1.047045968475505e-05
18,0,12,1.1716320470404927e-05
18,0,13,8.297287546104378e-06
18,0,14,2.6727705006039025e-06
18,0,15,-1.1632927626664135e-06
18,0,16,-7.970318738976585e-07
18,0,17,2.8803428423921436e-06
18,0,18,6.8564412798295346e-06
18,0,19,8.494611519541389e-06
18,0,20,7.3688164054426e-06
18,0,21,4.927551054363899e-06
18,0,22,3.0097439314992187e-06
18,0,23,2.4776676951606595e-06
18,0,24,3.169583262143034e-06
18,0,25,4.443484133664281e-06
18,0,26,5.874251379503888e-06
18,0,27,7.281996039917632e-06
18,0,28,8.698849108006417e-06
18,0,29,1.0140665987041456e-05
18,0,30,1.1622935735822626e-05
18,0,31,1.2874274590041852e-05
18,0,32,1.3357617916745957e-05
18,0,33,1.2438422894584726e-05
18,0,34,1.0168133455040057e-05
18,0,35,7.555497835518758e-06
18,0,36,6.202729947859121e-06
19,0,0,-2.444006022453863e-06
19,0,1,-2.927775720280512e-06
19,0,2,-3.0337796940379537e-06
19,0,3,-3.0516217975653224e-06
19,0,4,-3.3586326526600138e-06
19,0,5,-3.946145866078635e-06
19,0,6,-4.206688453380032e-06
19,0,7,-3.2397253135783637e-06
19,0,8,-7.834498436168742e-07
19,0,9,2.2851083826382957e-06
19,0,10,4.284335655206227e-06
19,0,11,4.0461142510062336e-06
19,0,12,1.8246501257590964e-06
19,0,13,-8.269555233244674e-07
19,0,14,-2.3795597726227304e-06
19,0,15,-2.4217430470142403e-06
19,0,16,-1.80514055462065e-06
19,0,17,-1.542775703707627e-06
19,0,18,-1.910197562480495e-06
19,0,19,-2.263996463710389e-06
19,0,20,-1.9850709873238907e-06
19,0,21,-1.095105033475375e-06
19,0,22,-2.5881356963545974e-07
19,0,23,1.2355462970328428e-07
19,0,24,3.3237595784671395e-07
19,0,25,1.131535480944037e-06
19,0,26,2.788359275368273e-06
19,0,27,4.71551254782658e-06
19,0,28,5.762221639459529e-06
19,0,29,5.314356610206612e-06
19,0,30,3.693143717563058e-06
19,0,31,1.8692568397690626e-06
19,0,32,3.657623037658136e-07
19,0,33,-9.850902789728197e-07
19,0,34,-2.7211858146837655e-06
19,0,35,-4.747774144368605e-06
19,0,36,-6.273712736209298e-06
20,0,0,-6.315328303999502e-06
20,0,1,-7.405780453460743e-06
20,0,2,-7.316585215335117e-06
20,0,3,-6.316277088886529e-06
20,0,4,-4.854033686141053e-06
20,0,5,-3.1446736570818143e-06
20,0,6,-1.3112355386358856e-06
20,0,7,3.8072428764079326e-07
20,0,8,1.3472155133720468e-06
20,0,9,1.1217533195838824e-06
20,0,10,-2.48167797568368e-07
20,0,11,-2.0493786301604077e-06
20,0,12,-3.4686858787890274e-06
20,0,13,-4.014934953175446e-06
20,0,14,-3.7363076091566317e-06
20,0,15,-2.8572704166558813e-06
20,0,16,-1.6531556203383855e-06
20,0,17,-3.818481729978888e-07
20,0,18,4.964991222865515e-07
20,0,19,5.753152067208832e-07
20,0,20,-2.6354910398184843e-07
20,0,21,-1.6221278443271714e-06
20,0,22,-3.0509631414924837e-06
20,0,23,-4.413033522999413e-06
20,0,24,-5.96559411655134e-06
20,0,25,-7.685874266758549e-06
20,0,26,-8.971463236765386e-06
20,0,27,-8.817328620773978e-06
20,0,28,-6.894068167596207e-06
20,0,29,-4.091959333020587e-06
20,0,30,-2.2376318490035916e-06
