level_0,level_1,level_2,no_vis_data_Fz
8,0,8,-7.797501100644018e-07
8,0,9,3.7994432771029803e-06
8,0,10,7.63569780711193e-06
8,0,11,8.719565942429987e-06
8,0,12,7.135279990420191e-06
8,0,13,4.8510840128803095e-06
8,0,14,3.901073490774422e-06
8,0,15,4.539324503977961e-06
8,0,16,5.17916422255023e-06
8,0,17,4.1479718383565065e-06
8,0,18,1.5313622726260647e-06
8,0,19,-7.454317821731403e-07
8,0,20,-7.145478882258907e-07
8,0,21,1.779945004420932e-06
8,0,22,4.908576084219121e-06
8,0,23,6.5044617318281775e-06
8,0,24,5.806323402003546e-06
8,0,25,3.7970320247137095e-06
8,0,26,2.0009287552813623e-06
8,0,27,1.2149667963112876e-06
8,0,28,1.154193904685883e-06
8,0,29,1.1341087143421072e-06
8,0,30,6.617438983466962e-07
8,0,31,-4.1970052450449047e-07
8,0,32,-2.150577197639956e-06
8,0,33,-4.372159739099028e-06
8,0,34,-6.596239207349555e-06
8,0,35,-8.051343440377613e-06
8,0,36,-8.319493041477992e-06
9,0,0,2.8965320302238798e-06
9,0,1,2.9305516800506284e-06
9,0,2,3.6522786648119406e-06
9,0,3,4.481601420981457e-06
9,0,4,4.935954057937734e-06
9,0,5,4.856901141079531e-06
9,0,6,4.2885618952494015e-06
9,0,7,3.3641289111236686e-06
9,0,8,2.1762722423373306e-06
9,0,9,8.283867042085035e-07
9,0,10,-5.922365377984563e-07
9,0,11,-1.944701972990512e-06
9,0,12,-3.0573621644105705e-06
9,0,13,-3.68035076489729e-06
9,0,14,-3.633447031034298e-06
9,0,15,-2.8829241702931803e-06
9,0,16,-1.715338137823073e-06
9,0,17,-5.367259371211891e-07
9,0,18,2.630563170077172e-07
9,0,19,5.573389981977398e-07
9,0,20,3.869374780511712e-07
9,0,21,-6.570333068928754e-08
9,0,22,-6.933401085549887e-07
9,0,23,-1.3932451318641396e-06
9,0,24,-2.1476888243230252e-06
9,0,25,-2.8852944954202615e-06
9,0,26,-3.5574016313007337e-06
9,0,27,-3.934522159818889e-06
9,0,28,-3.730300214662964e-06
9,0,29,-2.6694311998071136e-06
9,0,30,-9.46319792551097e-07
9,0,31,7.900386780820495e-07
9,0,32,1.5866140765820861e-06
9,0,33,9.497295791883236e-07
9,0,34,-8.342254783819499e-07
9,0,35,-2.6447380544881413e-06
9,0,36,-3.4326960815099408e-06
10,0,0,-5.840496301689827e-07
10,0,1,-3.382950858782593e-07
10,0,2,-7.656041930601158e-07
10,0,3,-1.2542423251484306e-06
10,0,4,-1.1233860444968347e-06
10,0,5,-2.861903837483107e-07
10,0,6,6.526723252076256e-07
10,0,7,1.0453848673274346e-06
10,0,8,7.768816546817369e-07
10,0,9,3.348480099577043e-07
10,0,10,2.6976816063314025e-07
10,0,11,6.828084780746703e-07
10,0,12,1.1008869642291136e-06
10,0,13,9.371938316280498e-07
10,0,14,-1.196259649622805e-07
10,0,15,-1.8225177244495444e-06
10,0,16,-3.4829547594788254e-06
10,0,17,-4.167295690674083e-06
10,0,18,-3.2113101520863936e-06
10,0,19,-6.346456397277816e-07
10,0,20,2.523918593716991e-06
10,0,21,4.669027545330524e-06
10,0,22,4.522694211209292e-06
10,0,23,2.137088663415907e-06
10,0,24,-1.0968480800972963e-06
10,0,25,-3.2987704380930646e-06
10,0,26,-3.557464204537148e-06
10,0,27,-2.48528944277403e-06
10,0,28,-1.7223703509619694e-06
10,0,29,-2.3974695425569193e-06
10,0,30,-4.23276112028321e-06
10,0,31,-5.676777157539905e-06
10,0,32,-5.440706890240599e-06
10,0,33,-3.6897276554122955e-06
10,0,34,-2.188575159250481e-06
10,0,35,-2.795362020878393e-06
10,0,36,-5.95122955701749e-06
11,0,0,5.050136753872211e-06
11,0,1,2.9117611554341184e-06
11,0,2,7.438179747502668e-07
11,0,3,5.852901809606866e-07
11,0,4,3.1073865565407874e-06
11,0,5,7.165084496039292e-06
11,0,6,1.0601251573180801e-05
11,0,7,1.1793755578063509e-05
11,0,8,1.057183996927872e-05
11,0,9,8.103219563748232e-06
11,0,10,5.817859069174848e-06
11,0,11,4.501649231092433e-06
11,0,12,4.01762705753281e-06
11,0,13,3.9589333617761106e-06
11,0,14,4.210555624909596e-06
11,0,15,5.068997491480744e-06
11,0,16,6.682321790761451e-06
11,0,17,8.723347985254196e-06
11,0,18,1.0502969391455415e-05
11,0,19,1.1604430792546729e-05
11,0,20,1.2062112543958982e-05
11,0,21,1.2112574221148328e-05
11,0,22,1.1625878133125647e-05
11,0,23,1.0284388707531818e-05
11,0,24,8.121358526350683e-06
11,0,25,6.01356414201858e-06
11,0,26,5.065400985578461e-06
11,0,27,5.651983604004361e-06
11,0,28,6.8276044765875395e-06
11,0,29,7.14724457529924e-06
11,0,30,5.923063233279633e-06
11,0,31,3.990177415630629e-06
11,0,32,2.90578577515443e-06
11,0,33,3.6634090611380936e-06
11,0,34,5.809980662152813e-06
11,0,35,8.032188754077086e-06
11,0,36,9.183132488448282e-06
12,0,0,8.577372628252916e-06
12,0,1,5.664883513248651e-06
12,0,2,3.5142948559752822e-06
12,0,3,3.0485724436837792e-06
12,0,4,3.961550523768931e-06
12,0,5,4.968960712550553e-06
12,0,6,4.904428060721464e-06
12,0,7,3.561843239692497e-06
12,0,8,1.783513679784926e-06
12,0,9,6.305159425486391e-07
12,0,10,6.627890441988125e-07
12,0,11,1.7420467234312065e-06
12,0,12,3.5430057851486762e-06
12,0,13,5.88483753419239e-06
12,0,14,8.666719933894944e-06
12,0,15,1.1411735055817066e-05
12,0,16,1.3274149584943792e-05
12,0,17,1.3441112441995922e-05
12,0,18,1.1886399620149649e-05
12,0,19,9.456601542239657e-06
12,0,20,7.376974209241183e-06
12,0,21,6.355687313891012e-06
12,0,22,6.298373139718518e-06
12,0,23,6.570141074594348e-06
12,0,24,6.7594011040873975e-06
12,0,25,6.937959654962041e-06
12,0,26,7.509179816252436e-06
12,0,27,8.601491700507575e-06
12,0,28,9.85536040522695e-06
12,0,29,1.0494197496825044e-05
12,0,30,9.960282625969983e-06
12,0,31,8.292958351259429e-06
12,0,32,6.285846123307512e-06
12,0,33,4.915396566988289e-06
12,0,34,4.81750583178838e-06
12,0,35,5.7947939193963086e-06
12,0,36,7.112931158679441e-06
13,0,0,2.5500096324134185e-06
13,0,1,5.063227566057248e-07
13,0,2,-9.07597600298758e-07
13,0,3,-1.1057427565142362e-06
13,0,4,-3.6057504613169064e-07
13,0,5,5.555928592937865e-07
13,0,6,1.0651997558418157e-06
13,0,7,1.1560430893410828e-06
13,0,8,1.0377044573049257e-06
13,0,9,6.715524805283309e-07
13,0,10,-3.06216911682948e-07
13,0,11,-1.99555727949265e-06
13,0,12,-3.7845850438376514e-06
13,0,13,-4.612037878872459e-06
13,0,14,-4.009498721363003e-06
13,0,15,-2.7242910115408297e-06
13,0,16,-2.260112193680177e-06
13,0,17,-3.4699013275265884e-06
13,0,18,-5.753726595020503e-06
13,0,19,-7.559401386836935e-06
13,0,20,-7.939531615267046e-06
13,0,21,-7.4312732265334296e-06
13,0,22,-7.510669204798253e-06
13,0,23,-8.90880487164564e-06
13,0,24,-1.0704142346527684e-05
13,0,25,-1.0954632470639531e-05
13,0,26,-8.565495354866538e-06
13,0,27,-4.392372349652421e-06
13,0,28,-8.035184811568311e-07
13,0,29,2.3382902220969722e-07
13,0,30,-1.3988902746126932e-06
13,0,31,-3.9611940018405235e-06
13,0,32,-5.512291400294435e-06
13,0,33,-5.463454080666661e-06
13,0,34,-4.98893503548853e-06
13,0,35,-5.690542541955299e-06
13,0,36,-8.081325479365146e-06
14,0,0,7.548696997835441e-06
14,0,1,5.834377675992475e-06
14,0,2,3.718481512736253e-06
14,0,3,3.6564954461100756e-06
14,0,4,5.963680175872409e-06
14,0,5,8.394842859653275e-06
14,0,6,8.355504666630246e-06
14,0,7,5.461402988184659e-06
14,0,8,1.9942928999394047e-06
14,0,9,6.525335817888027e-07
14,0,10,2.0294892540288415e-06
14,0,11,4.135424813061763e-06
14,0,12,4.5959543743266434e-06
14,0,13,3.0437186522870303e-06
14,0,14,1.5047191706374347e-06
14,0,15,2.244291896904977e-06
14,0,16,5.532182049718603e-06
14,0,17,9.238505437100385e-06
14,0,18,1.0840744814790706e-05
14,0,19,9.559522874608975e-06
14,0,20,6.944956215908097e-06
14,0,21,5.268713072221175e-06
14,0,22,5.675699588201188e-06
14,0,23,7.395339454128807e-06
14,0,24,8.826618563594199e-06
14,0,25,8.941285474515115e-06
14,0,26,8.093421031483202e-06
14,0,27,7.322787241697865e-06
14,0,28,7.40500701915483e-06
14,0,29,8.134865614266924e-06
14,0,30,8.84234991178624e-06
14,0,31,9.055645340020138e-06
14,0,32,9.022285801457773e-06
14,0,33,9.165467918289345e-06
14,0,34,9.547275982570288e-06
14,0,35,9.523857585044316e-06
14,0,36,8.53402465492896e-06
15,0,0,-2.7624885162918974e-06
15,0,1,-4.09499086080571e-06
15,0,2,-3.7452879599757553e-06
15,0,3,-2.0116049499466817e-06
15,0,4,-1.6372689759237023e-07
15,0,5,6.912350830363679e-07
15,0,6,7.535557072935776e-07
15,0,7,1.2231834444179524e-06
15,0,8,3.089061693218524e-06
15,0,9,5.8284481342464394e-06
15,0,10,7.773995573524318e-06
15,0,11,7.539853798819388e-06
15,0,12,5.514014347083148e-06
15,0,13,3.4720313641498806e-06
15,0,14,3.0196310485495218e-06
15,0,15,3.9483308361827325e-06
15,0,16,4.632628475429541e-06
15,0,17,3.676947435672542e-06
15,0,18,1.5989666519066934e-06
15,0,19,2.764985579507559e-07
15,0,20,1.2279710245994256e-06
15,0,21,3.942547177389035e-06
15,0,22,6.511045018375589e-06
15,0,23,7.265943821990024e-06
15,0,24,6.344763918562067e-06
15,0,25,5.058379686376149e-06
15,0,26,4.505290847932596e-06
15,0,27,4.408890956470048e-06
15,0,28,3.940558294345561e-06
15,0,29,2.808158247725136e-06
15,0,30,1.9435403663400983e-06
15,0,31,2.3072074671302167e-06
